clean_comment,category
seems theo can finish today shots already 1on1 with the goalie ,0
strong tackle bacary sagna ,1
newcastle fan here the young lads are playing really well for you future looks bright ,1
the central midfield and sagna like that ,0
 just does look like giroud has had visit jenkinson hair stylist ,0
 ,0
goddamn its good have football back ,1
what ball rosicky,0
those kits look even better every time see them can wait get hands one,1
believe not that the first goal conceded since newcastle ,1
sagna has been great far centre bac,1
apparently the running man coming out with the team ,1
zelalem just amazing ,1
 very impressed with gnabry movement and linking seems like intelligent addition being very technically gifted ,1
giroud just having fun and what ball from mozart ,1
 zealalem doesn make arsenal then will beyond amazed his composure and vision the ball incredible reminds pirlo ,1
subs for those wondering fabianski martinez miquel mertesacker aneke ramsey walcott akpom wilshere zelalem ryo eisfeld olsson,0
damn that stadium really packed ,1
sagna 4th choice for the season sign luiz gustavo can fill too and alright think love that gnabry starting again can take gervinho spot this year with him probably goin ,1
zelalem has the best vision the club senior youth ,1
zelalem vision simple phantasmagorical ,0
hfb brilliant ,1
gibbs nearly gave scare there ,1
that wasn surprising,1
giroud out control the moment yes realise the vietnam national team ,0
 giroud shows this sort finishing prowess this season force reckoned with realize early days but showing confidence and awareness that didn display last season mother god just scored while was typing this ,1
 gotta crazy hot playing there july even night miss insane polluted fun hanoi ,-1
 only needs one touch,0
what the fuck giroud know only vietnam but damn ,-1
what great pass from gnabry shame giroud was being slow would have been great goal ,1
come podolski take shot ,0
giroud and mertesacker looks like giants standing besides the vietnam team,0
thats peach,0
ryo edit ryo off ,0
 game delayed ,-1
poldi looking bit petulant today ,0
 just the tight shirt does giroud look bit slimmer than last season ,-1
how old akpom ,1
olliieeee cool you like ,1
giroud should done better but great ball rosicky ,1
 gnabry playing the right podolski ,1
"lots streams this site vietnam arsenal html
",0
anyone know why miyaichi was subbed off ,0
where can find live stream ,1
that some serious rain ,-1
whoa what the hell was mertesacker wearing,0
with finishing like that terrified giroud,0
very harsh send the keeper off friendly ,1
much prefer the sound drums air horns ,1
lovely finish there giroud,1
 goals and assist for giroud his first minutes preseason not bad start ,1
giroud really has found his touch this preseason lovely ball,1
vietnam goal was kinda raw,-1
came from the link the soccer just wondering where cazorla was for this match ,0
anyone notice the running man hanging with poldi during the lineups ,0
why did miyaichi come off early ,1
ramsey apparently walked off with injury ,1
the vietnamese team very weak but cant tell giroud definetly improved his finishing ,-1
lol the vietnam goalscorer didn even mean kick the ball that way,1
dat intense celebration ,1
 sanogo with the asia tour ,0
good finish the there super ball ramsey the build walcott,1
this has been the best and the worst giroud,0
chemistry ain bad this year boys know vietnam and indonesia but this great for this early the season,1
what pass from zelalem the 2nd akpom goal,0
akpom has great composure for his age ,1
hot diggity damn that was screamer ,1
second and third were deliciously finished second one particular was quite juicy and satisfying,1
great burst pace and lovely chip over the keeper hattrick giroud ,1
and giroud completes the hat trick ,0
wow what strike from giroud don know why they don least shake each other hand when they score rather than nothing and look pissed off,-1
what beaut olivier just telling arsene that got this far striker concerned,1
giroud again clinical ,0
fantastic finish giroud ,1
fuck giroud better finishing like this month ,1
man the players seem really high strung today for pre season friendly ,1
ryo miyaichi how his name pronounced mee chee mee eye chee chee what think ,0
this interesting and well written please keep these coming ,1
your stories are interesting keep coming ,1
hard nips and goosebumps ,-1
god that creepy ,-1
 economic history 101 economy doesn depend persons even policies depends circumstances ,1
not expecting leader turn india into superpower even years expecting leader provide sense pride direction this country which was lacking ever since rajiv gandhi was assassinated ,0
true that people love say let namo come all problems would solved would the superpower could never under congress might better than congress but not the panacea all our problems ,1
indians are morally corrupt birth caste system google corrupt money with forward caste people ,-1
yatha raja thatha praja ,0
cant the same extended say wretched the country whose welfare depends the alone ,0
 course yes sir you are right should vote the current government back into power because they clearly more than one man ,1
nonsense who claimed that the panacea for all evils will turn india into supapowaaa 2015 find one poster who claimed such here almost everyone acknowledges that the best atleast one the best amongst the current available lot and can provide governance that will atleast better relative the current upa regime ,1
yes won solve all the problems overnight but strong leader with plan still better than idiots with plan case study obama people expected the economy fixed the thursday after was elected and course that didn happen still fairly shit and most the issues that were big deal 2009 are still pertaining but still did manage eliminated subsidies private lender middlemen student loans and protect student borrowers healthcare reforms for tens millions americans expanded hate crime law the include sexual orientation appointed nations first chief technology officer signed financial reform law establishing consumer financial protection bureau signed financial reform law prohibiting banks from engaging proprietary trading are these irrelevant and pointless they aren hasn lifted america out the sewer but empowered students women consumers medical patients etc that they can achieve their potential without shit like insurance and loans get their way thus bringing back point the change you wantt see etc etc and that what believe modi can the change for the country must come from the grass roots easier said than done not like have deal with lapse enforement laws corruption red tape logistics etc you can call modi bots but think the alternatives double failure mms rahul gandhi digvijay chiddu what has the congress done besides spoonfeed the backward zombies and keep them backward ,-1
please change the title wretched country where its news sold appease the ruling party wretched country where terrorism sickularism maoism separatism tolerated wretched country whose leaders appease community the name religion and caste wretched country where its leaders are involved corruption scams rape money laundering tax evasion etc not saying namo will solve all problems but atleast will not remain mute and deaf like manmohan singh who does not even give interviews about his governance atleast namo speaks good bad about his state manmohan singh does not not even speak about the country just lapdog sonia gandhi ,1
and even more wretched the country that can depend even one man there have been people throughout history who were pivotal figures gandhi and lincoln are two examples have seen modi handle his charge that gujarat superbly contrast have seen politicians who are inept and corrupt led the congress which can sell out the country for example pitting against cbi and having suggestions surface that pakistan sponsored attack admitted pakistan was inside job yes bank the man hope nothing happens him because our opinion party that capable compromising india interests vis vis pakistan capable killing someone well ,1
gandhi mandela hitler mao plato chandragupt maurya chanakya jeeejuss mohammed ching shih maggie thatcher celopatra indira gandhi what common between them they were all one man show edit you are the one with wretched mind ,-1
 whatevs are you fabulous enough india ,1
personally for shooting muslims and internetofficer like morons cleanse the society the scum ,-1
amartya sen says “ indian citizen don’ want modi has not done enough make minorities feel safe ” said being asked why did not want sen said “ could have first all been more secular and could have made the minority community feel more secure ” indian demographics are not uniformly distributed muslim and the rest hindu all over the country there are cities and towns where muslims and christians are majority very large minority yet come across even single town that integrated that where the two communities live together there are hindus who live muslim and christian majority townships who are very much minorities and they are not faring well all just sad and bewildering that economists the stature sen can not see the plight hindu minorities hindu majority country the word secular has been reduced slogan that now means being overly solicitous obscurantist elements the muslim leadership while ignoring the plight all other minorities the traditional sense the word what non secular thing has modi done has introduced madrassas hindu schooling has made some religious rules conduct for women forcing muslims wear some marker distinguish them from the rest the people has gone and interfered with the running their institutions had sen spent more time india would have known the answers these questions and also why secularism has become such hated word the majority indians don’ want situation where the minority feel insecure and could legitimately think that there was organised violence against them 2002 think that terrible record and don’ think indian prime minister indian citizen who has that kind record not narsimha rao was the home minister during the 1984 delhi riots which are better example state sponsored riots than any other indian history when least 3000 sikhs were murdered mob violence delhi alone home minister rao was directly responsible for ordering the delhi police delhi was union territory then stand aside the sikhs were murdered their neighborhoods when rao was elevated being the sen kept his counsel not bring the sikh riots justify the godhra riots but only point out the hypocrisy people using all their lungs scream about gujarat but are silent about all other incidents violence modi could have made the majority community feel that they are not maltreating the minority and going against the long indian tradition being tolerant indians have been tolerant things for far too long are tolerant sewage our drinking water poison our food rape our streets loot our leaders war and murder our neighbors have lost half our country and have been ethnically cleansed wherever are not majority are tired being tolerant and most all are tired interminable lectures well meaning academics how should run our affairs and what can and can not think please sen let ,1
his opinion matters because ,0
few questions for sen you even have voter card how many days you spend india year you use government services and have deal with our babus you have haggle every day with subzi vali save few can and people are fed with years congress rule modi may not saint but thousand times better than the alternative ,1
whoa the morality brigade really hissing they can insult mock people like ramdev ravishankar etc day and day out even there relevance the actual topic but someone says something about amartya sen then the panties are fire why said somethig about modi and instantly becomes their secular knight shining arms down with your hypocrisy bhenchods you want civilized discussion present one from yourself first and let irrespective the person question ,1
bangali desh bechne main sabse aage ,1
one the two person most disappointed see sell their integrity for the upa second shashi tharoor ,-1
cool can vote for someone else ,1
 india turns into toi comments section the moment someone puts finger modi not agree with amartya sen remarks modi but not here question his credentials has every right have personal opinion like everyone else this country would great the inflammatory comments are downvoted and some valid points are raised ,1
wow such wonderful insightful comments this thread wonder this subreddit the biggest shithole ever grace reddit ,1
god fucking damn these comments one very few nobel prize winners from india you may not like his politics you can disagree with respect screw you guys mtc3zcnizow ,-1
don hate love people politics because they are just part the machine called party they run instead hate love their policies this article seems dubious have seen sen interviews does not talk shallow would need video context this article there are many scavenger journalists out there wanting get attention ,-1
some one posted link comparing how fight between modi and mms actually fight between economists very relevant here you should read that link get good perspective ,1
 gets one vote the rest ,0
amartya sen idiot ,-1
old man has lost his mind ,1
